34025	 dwtaš 	aw	三人称単数人称代名詞（彼、彼女）	ta	・・・個pos_num:sp_	dw	2
53023	 kne 	krdn	（あることを）する				
53024	 kne 	krdn	（あることを）する				
53053	 kne 	krdn	（あることを）する				
53087	 kne 	krdn	（あることを）する				
57013	 kne 	krdn	（あることを）する				
57015	 kne 	krdn	（あることを）する				
58041	 kne 	krdn	（あることを）する				
59049	 kne 	krdn	（あることを）する				
59080	 kne 	krdn	（あることを）する				
60003	 kne 	krdn	（あることを）する				
61012	 kne 	krdn	（あることを）する				
61017	 kne 	krdn	（あることを）する				
62003	 kne 	krdn	（あることを）する				
62009	 kne 	krdn	（あることを）する				
62025	 kne 	krdn	（あることを）する				
62034	 kne 	krdn	（あることを）する				
63005	 kne 	krdn	（あることを）する				
63043	 kne 	krdn	（あることを）する				
65007	 kne 	krdn	（あることを）する				
67005	 kne 	krdn	（あることを）する				
35006	 kne 	krdn	（あることを）する				
33006	 kne 	krdn	（あることを）する				
33007	 kne 	krdn	（あることを）する				
33008	 kne 	krdn	（あることを）する				
36018	 kny 	krdn	（あることを）する				
44062	 kny 	krdn	（あることを）する				
49010	 kny 	krdn	（あることを）する				
49015	 kny 	krdn	（あることを）する				
49016	 kny 	krdn	（あることを）する				
49035	 kny 	krdn	（あることを）する				
53052	 kny 	krdn	（あることを）する				
58034	 kny 	krdn	（あることを）する				
58051	 kny 	krdn	（あることを）する				
58052	 kny 	krdn	（あることを）する				
61004	 kny 	krdn	（あることを）する				
61011	 kny 	krdn	（あることを）する				
62007	 kny 	krdn	（あることを）する				
62023	 kny 	krdn	（あることを）する				
35003	 knyd 	krdn	（あることを）する				
46071	 knyd 	krdn	（あることを）する				
68012	 knyd 	krdn	（あることを）する				
44014	 knym 	krdn	（あることを）する				
50076	 knym 	krdn	（あることを）する				
53071	 knym 	krdn	（あることを）する				
53085	 knym 	krdn	（あることを）する				
56004	 knym 	krdn	（あることを）する				
56011	 knym 	krdn	（あることを）する				
59008	 knym 	krdn	（あることを）する				
63038	 knym 	krdn	（あることを）する				
44057	 knyn 	krdn	（あることを）する				
50077	 knyn 	krdn	（あることを）する				
33010	 knyn 	krdn	（あることを）する				
33010	 knyn 	krdn	（あることを）する				
36023	 ke 	krdn	（あることを）する				
41015	 myKne 	krdn	（あることを）する				
41054	 myKne 	krdn	（あることを）する				
41040	 myKny	krdn	（あることを）する				
34009	 mykrd 	krdn	（あることを）する				
34061	 mykrd 	krdn	（あることを）する				
37022	 mykrd 	krdn	（あることを）する				
37043	 mykrd 	krdn	（あることを）する				
37052	 mykrd 	krdn	（あることを）する				
45017	 mykrd 	krdn	（あることを）する				
45017	 mykrd 	krdn	（あることを）する				
45026	 mykrd 	krdn	（あることを）する				
51002	 mykrd 	krdn	（あることを）する				
51003	 mykrd 	krdn	（あることを）する				
51017	 mykrd 	krdn	（あることを）する				
52001	 mykrd 	krdn	（あることを）する				
57025	 mykrd 	krdn	（あることを）する				
58012	 mykrd 	krdn	（あることを）する				
58054	 mykrd 	krdn	（あることを）する				
58054	 mykrd 	krdn	（あることを）する				
58054	 mykrd 	krdn	（あることを）する				
58054	 mykrd 	krdn	（あることを）する				
60002	 mykrd 	krdn	（あることを）する				
61002	 mykrd 	krdn	（あることを）する				
61015	 mykrd 	krdn	（あることを）する				
63005	 mykrd 	krdn	（あることを）する				
65011	 mykrd 	krdn	（あることを）する				
67002	 mykrd 	krdn	（あることを）する				
49017	 mykrdm 	krdn	（あることを）する				
36005	 mykrdn 	krdn	（あることを）する				
36008	 mykrdn 	krdn	（あることを）する				
37053	 mykrdn 	krdn	（あることを）する				
38025	 mykrdn 	krdn	（あることを）する				
40023	 mykrdn 	krdn	（あることを）する				
53090	 mykrdn 	krdn	（あることを）する				
54002	 mykrdn 	krdn	（あることを）する				
54003	 mykrdn 	krdn	（あることを）する				
57018	 mykrdn 	krdn	（あることを）する				
58023	 mykrdn 	krdn	（あることを）する				
59039	 mykrdn 	krdn	（あることを）する				
59078	 mykrdn 	krdn	（あることを）する				
59079	 mykrdn 	krdn	（あることを）する				
62001	 mykrdn 	krdn	（あることを）する				
34010	 mykrdnd 	krdn	（あることを）する				
34011	 mykrdnd 	krdn	（あることを）する				
36006	 mykrdnd 	krdn	（あることを）する				
36009	 mykrdnd 	krdn	（あることを）する				
58023	 mykrdnd 	krdn	（あることを）する				
63004	 mykrdnd 	krdn	（あることを）する				
64002	 mykrdnd 	krdn	（あることを）する				
40023	 mykrde 	krdn	（あることを）する				
49003	 mykrde 	krdn	（あることを）する				
53033	 mykrde 	krdn	（あることを）する				
53056	 mykrde 	krdn	（あることを）する				
53090	 mykrde 	krdn	（あることを）する				
59021	 mykrde 	krdn	（あることを）する				
45008	 mykrdy 	krdn	（あることを）する				
31052	 mykn 	krdn	（あることを）する				
31052	 mykn 	krdn	（あることを）する				
38005	 mykn 	krdn	（あることを）する				
31042	 myknd 	krdn	（あることを）する				
43018	 myknd 	krdn	（あることを）する				
43035	 myknd 	krdn	（あることを）する				
43036	 myknd 	krdn	（あることを）する				
49040	 myknd 	krdn	（あることを）する				
51008	 myknd 	krdn	（あることを）する				
35007	 myknm 	krdn	（あることを）する				
45038	 myknm 	krdn	（あることを）する				
46031	 myknm 	krdn	（あることを）する				
46052	 myknm 	krdn	（あることを）する				
46073	 myknm 	krdn	（あることを）する				
49010	 myknm 	krdn	（あることを）する				
50078	 myknm 	krdn	（あることを）する				
53068	 myknm 	krdn	（あることを）する				
54014	 myknm 	krdn	（あることを）する				
33005	 myknm 	krdn	（あることを）する				
33010	 myknm 	krdn	（あることを）する				
31022	 mykn=n 	krdn	（あることを）する				
38010	 myknn 	krdn	（あることを）する				
38011	 myknn 	krdn	（あることを）する				
40022	 myknn 	krdn	（あることを）する				
44039	 myknn 	krdn	（あることを）する				
44043	 myknn 	krdn	（あることを）する				
44060	 myknn 	krdn	（あることを）する				
45037	 myknn 	krdn	（あることを）する				
47026	 myknn 	krdn	（あることを）する				
47044	 myknn 	krdn	（あることを）する				
49002	 myknn 	krdn	（あることを）する				
49040	 myknn 	krdn	（あることを）する				
50006	 myknn 	krdn	（あることを）する				
50028	 myknn 	krdn	（あることを）する				
50077	 myknn 	krdn	（あることを）する				
53069	 myknn 	krdn	（あることを）する				
53070	 myknn 	krdn	（あることを）する				
53076	 myknn 	krdn	（あることを）する				
53078	 myknn 	krdn	（あることを）する				
53102	 myknn 	krdn	（あることを）する				
53117	 myknn 	krdn	（あることを）する				
53117	 myknn 	krdn	（あることを）する				
53119	 myknn 	krdn	（あることを）する				
53119	 myknn 	krdn	（あることを）する				
55002	 myknn 	krdn	（あることを）する				
59017	 myknn 	krdn	（あることを）する				
59038	 myknn 	krdn	（あることを）する				
59043	 myknn 	krdn	（あることを）する				
59053	 myknn 	krdn	（あることを）する				
59063	 myknn 	krdn	（あることを）する				
63037	 myknn 	krdn	（あることを）する				
43032	 myknnd 	krdn	（あることを）する				
43034	 myknnd 	krdn	（あることを）する				
50044	 myknnd 	krdn	（あることを）する				
60005	 myknnd 	krdn	（あることを）する				
31024	 mykne 	krdn	（あることを）する				
31042	 mykne 	krdn	（あることを）する				
31049	 mykne 	krdn	（あることを）する				
32032	 mykne 	krdn	（あることを）する				
32047	 mykne 	krdn	（あることを）する				
34042	 mykne 	krdn	（あることを）する				
37013	 mykne 	krdn	（あることを）する				
37017	 mykne 	krdn	（あることを）する				
37017	 mykne 	krdn	（あることを）する				
38003	 mykne 	krdn	（あることを）する				
38007	 mykne 	krdn	（あることを）する				
38007	 mykne 	krdn	（あることを）する				
38008	 mykne 	krdn	（あることを）する				
38015	 mykne 	krdn	（あることを）する				
38015	 mykne 	krdn	（あることを）する				
38018	 mykne 	krdn	（あることを）する				
40015	 mykne 	krdn	（あることを）する				
40015	 mykne 	krdn	（あることを）する				
40018	 mykne 	krdn	（あることを）する				
40024	 mykne 	krdn	（あることを）する				
40027	 mykne 	krdn	（あることを）する				
40027	 mykne 	krdn	（あることを）する				
40028	 mykne 	krdn	（あることを）する				
40028	 mykne 	krdn	（あることを）する				
40034	 mykne 	krdn	（あることを）する				
42012	 mykne 	krdn	（あることを）する				
42014	 mykne 	krdn	（あることを）する				
42014	 mykne 	krdn	（あることを）する				
43002	 mykne 	krdn	（あることを）する				
43009	 mykne 	krdn	（あることを）する				
43021	 mykne 	krdn	（あることを）する				
43022	 mykne 	krdn	（あることを）する				
43024	 mykne 	krdn	（あることを）する				
44002	 mykne 	krdn	（あることを）する				
44004	 mykne 	krdn	（あることを）する				
44011	 mykne 	krdn	（あることを）する				
44035	 mykne 	krdn	（あることを）する				
44056	 mykne 	krdn	（あることを）する				
44061	 mykne 	krdn	（あることを）する				
44084	 mykne 	krdn	（あることを）する				
44088	 mykne 	krdn	（あることを）する				
47003	 mykne 	krdn	（あることを）する				
47004	 mykne 	krdn	（あることを）する				
47030	 mykne 	krdn	（あることを）する				
47030	 mykne 	krdn	（あることを）する				
47040	 mykne 	krdn	（あることを）する				
47047	 mykne 	krdn	（あることを）する				
47048	 mykne 	krdn	（あることを）する				
49025	 mykne 	krdn	（あることを）する				
49028	 mykne 	krdn	（あることを）する				
53023	 mykne 	krdn	（あることを）する				
53025	 mykne 	krdn	（あることを）する				
53027	 mykne 	krdn	（あることを）する				
53028	 mykne 	krdn	（あることを）する				
53036	 mykne 	krdn	（あることを）する				
53038	 mykne 	krdn	（あることを）する				
53045	 mykne 	krdn	（あることを）する				
53049	 mykne 	krdn	（あることを）する				
53063	 mykne 	krdn	（あることを）する				
53120	 mykne 	krdn	（あることを）する				
53121	 mykne 	krdn	（あることを）する				
55003	 mykne 	krdn	（あることを）する				
55003	 mykne 	krdn	（あることを）する				
55004	 mykne 	krdn	（あることを）する				
55005	 mykne 	krdn	（あることを）する				
55005	 mykne 	krdn	（あることを）する				
59024	 mykne 	krdn	（あることを）する				
59035	 mykne 	krdn	（あることを）する				
60009	 mykne 	krdn	（あることを）する				
61015	 mykne 	krdn	（あることを）する				
62012	 mykne 	krdn	（あることを）する				
62024	 mykne 	krdn	（あることを）する				
62029	 mykne 	krdn	（あることを）する				
62030	 mykne 	krdn	（あることを）する				
62030	 mykne 	krdn	（あることを）する				
62035	 mykne 	krdn	（あることを）する				
62035	 mykne 	krdn	（あることを）する				
63009	 mykne 	krdn	（あることを）する				
63021	 mykne 	krdn	（あることを）する				
63027	 mykne 	krdn	（あることを）する				
63038	 mykne 	krdn	（あることを）する				
38016	 mykne 	krdn	（あることを）する				
38020	 mykne 	krdn	（あることを）する				
33003	 mykne 	krdn	（あることを）する				
33003	 mykne 	krdn	（あることを）する				
33003	 mykne 	krdn	（あることを）する				
33003	 mykne 	krdn	（あることを）する				
33006	 mykne 	krdn	（あることを）する				
31023	 myk=nw 	krdn	（あることを）する				
38003	 myknw 	krdn	（あることを）する				
32027	 mykny 	krdn	（あることを）する				
34029	 mykny 	krdn	（あることを）する				
37013	 mykny 	krdn	（あることを）する				
45019	 mykny 	krdn	（あることを）する				
45019	 mykny 	krdn	（あることを）する				
45022	 mykny 	krdn	（あることを）する				
46007	 mykny 	krdn	（あることを）する				
46051	 mykny 	krdn	（あることを）する				
47021	 mykny 	krdn	（あることを）する				
47052	 mykny 	krdn	（あることを）する				
49011	 mykny 	krdn	（あることを）する				
53091	 mykny 	krdn	（あることを）する				
58051	 mykny 	krdn	（あることを）する				
58053	 mykny 	krdn	（あることを）する				
58053	 mykny 	krdn	（あることを）する				
59070	 mykny 	krdn	（あることを）する				
69014	 mykny 	krdn	（あることを）する				
35005	 myknym 	krdn	（あることを）する				
37027	 myknym 	krdn	（あることを）する				
44088	 myknym 	krdn	（あることを）する				
44089	 myknym 	krdn	（あることを）する				
54006	 myknym 	krdn	（あることを）する				
54008	 myknym 	krdn	（あることを）する				
54011	 myknym 	krdn	（あることを）する				
54011	 myknym 	krdn	（あることを）する				
54018	 myknym 	krdn	（あることを）する				
54018	 myknym 	krdn	（あることを）する				
33009	 myknyn 	krdn	（あることを）する				
37038	 nkrd 	krdn	（あることを）する				
44069	 nkrd 	krdn	（あることを）する				
56011	 nkrd 	krdn	（あることを）する				
56014	 nkrd 	krdn	（あることを）する				
59063	 nkrd 	krdn	（あることを）する				
45037	 nkrdm 	krdn	（あることを）する				
47009	 nkrdm 	krdn	（あることを）する				
63022	 nkrdm 	krdn	（あることを）する				
39003	 nkrdn 	krdn	（あることを）する				
39004	 nkrdn 	krdn	（あることを）する				
62021	 nkrde 	krdn	（あることを）する				
62022	 nkrde 	krdn	（あることを）する				
67008	 nkrde 	krdn	（あることを）する				
58048	 nkrdy 	krdn	（あることを）する				
61010	 nkrdy 	krdn	（あることを）する				
35003	 nkrdy 	krdn	（あることを）する				
35005	 nkrdym 	krdn	（あることを）する				
31028	 nkn 	krdn	（あることを）する				
49008	 nkn 	krdn	（あることを）する				
53035	 nkn 	krdn	（あることを）する				
59032	 nknm 	krdn	（あることを）する				
59056	 nknm 	krdn	（あることを）する				
37056	 nknn 	krdn	（あることを）する				
38023	 nknn 	krdn	（あることを）する				
63028	 nknnd 	krdn	（あることを）する				
36042	 nkne 	krdn	（あることを）する				
59020	 nkne 	krdn	（あることを）する				
59040	 nkne 	krdn	（あることを）する				
59077	 nkne 	krdn	（あることを）する				
63032	 nkne 	krdn	（あることを）する				
67008	 nkne 	krdn	（あることを）する				
36028	 nkny 	krdn	（あることを）する				
36028	 nkny 	krdn	（あることを）する				
59077	 nkny 	krdn	（あることを）する				
32022	 nknya 	krdn	（あることを）する				
56004	 nknym 	krdn	（あることを）する				
56011	 nknym 	krdn	（あることを）する				
34010	 nmykrd 	krdn	（あることを）する				
62005	 nmykrde 	krdn	（あることを）する				
62010	 nmykrde 	krdn	（あることを）する				
62011	 nmykrde 	krdn	（あることを）する				
61024	 nmykrdy 	krdn	（あることを）する				
32023	 nmyknm 	krdn	（あることを）する				
46052	 nmyknm 	krdn	（あることを）する				
53066	 nmyknm 	krdn	（あることを）する				
53067	 nmyknm 	krdn	（あることを）する				
45038	 nmyknn 	krdn	（あることを）する				
63036	 nmyknn 	krdn	（あることを）する				
38024	 nmykne 	krdn	（あることを）する				
40010	 nmykne 	krdn	（あることを）する				
44003	 nmykne 	krdn	（あることを）する				
44003	 nmykne 	krdn	（あることを）する				
44015	 nmykne 	krdn	（あることを）する				
44036	 nmykne 	krdn	（あることを）する				
44037	 nmykne 	krdn	（あることを）する				
53046	 nmykne 	krdn	（あることを）する				
46051	 nmykny 	krdn	（あることを）する				
47022	 nmykny 	krdn	（あることを）する				
49029	 nmykny 	krdn	（あることを）する				
33006	 mstħb 	mstħb	（イスラーム法で）望ましい				
32022	 bqče 	bqče	（衣服などをつつむ）風呂敷				
45021	 jŕe 	jŕe	（羽根などの）ふさ				
59015	 xrmn 	xrmn	（干し草、収穫作物など）積んだ山				
38017	 le 	le	（泣き声の擬音語）				
38017	 le 	le	（泣き声の擬音語）				
43037	 xwnxwaey 	xwnxwaey	（血の）復讐				
33010	 sr dr 	srdr	（建物の）正面				
33017	 srdr 	srdr	（建物の）正面				
33018	 srdry 	srdr	（建物の）正面				
44067	 are 	ble	（肯定の返事）はい				
44071	 are 	ble	（肯定の返事）はい				
44073	 are 	ble	（肯定の返事）はい				
44081	 are 	ble	（肯定の返事）はい				
44082	 are 	ble	（肯定の返事）はい				
44084	 are 	ble	（肯定の返事）はい				
45012	 are 	ble	（肯定の返事）はい				
47039	 are 	ble	（肯定の返事）はい				
50069	 are 	ble	（肯定の返事）はい				
34023	 ble 	ble	（肯定の返事）はい				
35007	 ble 	ble	（肯定の返事）はい				
35019	 ble 	ble	（肯定の返事）はい				
35022	 ble 	ble	（肯定の返事）はい				
35023	 ble 	ble	（肯定の返事）はい				
44009	 ble 	ble	（肯定の返事）はい				
46043	 ble 	ble	（肯定の返事）はい				
47018	 ble 	ble	（肯定の返事）はい				
47023	 ble 	ble	（肯定の返事）はい				
47026	 ble 	ble	（肯定の返事）はい				
47040	 ble 	ble	（肯定の返事）はい				
53107	 ble 	ble	（肯定の返事）はい				
62019	 ble 	ble	（肯定の返事）はい				
69005	 ble 	ble	（肯定の返事）はい				
47040	 xwne 	ble	（肯定の返事）はい				
57031	 čra 	čra2	（肯定の返事）はい				
53052	 kfare 	kfare	（罪の）償い				
32051	 gđšt 	gđštn	（時が）過ぎる				
32053	 gđšt 	gđštn	（時が）過ぎる				
33015	 gđšt 	gđštn	（時が）過ぎる				
34027	 gđšt 	gđštn	（時が）過ぎる				
50083	 gđšte 	gđštn	（時が）過ぎる				
59005	 gđšte 	gđštn	（時が）過ぎる				
50016	 mygđre 	gđštn	（時が）過ぎる				
50016	 mygđre 	gđštn	（時が）過ぎる				
60005	 mygđre 	gđštn	（時が）過ぎる				
40016	 mygđre 	gđštn	（時が）過ぎる				
59005	 bgđrannd 	gđrandn	（時を）過ごす				
59017	 kaštn 	kaštn	（種子）を蒔く				
53002	 gle 	gle	（獣の）群れ				
53105	 gle 	gle	（獣の）群れ				
53106	 gle 	gle	（獣の）群れ				
53108	 gle 	gle	（獣の）群れ				
53111	 gle 	gle	（獣の）群れ				
53114	 gle 	gle	（獣の）群れ				
63008	 gle 	gle	（獣の）群れ				
63009	 gle 	gle	（獣の）群れ				
63010	 gle 	gle	（獣の）群れ				
63014	 gle 	gle	（獣の）群れ				
63017	 gle 	gle	（獣の）群れ				
63020	 gle 	gle	（獣の）群れ				
63021	 gle 	gle	（獣の）群れ				
63024	 gle 	gle	（獣の）群れ				
63025	 gle 	gle	（獣の）群れ				
63027	 gle 	gle	（獣の）群れ				
63029	 gle 	gle	（獣の）群れ				
63032	 gle 	gle	（獣の）群れ				
63034	 gle 	gle	（獣の）群れ				
63036	 gle 	gle	（獣の）群れ				
63037	 gle 	gle	（獣の）群れ				
31019	 a 	az	（場所）・・・から				
31028	 a 	az	（場所）・・・から				
42005	 a 	az	（場所）・・・から				
42012	 a 	az	（場所）・・・から				
42014	 a 	az	（場所）・・・から				
44017	 a 	az	（場所）・・・から				
44035	 a 	az	（場所）・・・から				
49007	 a 	az	（場所）・・・から				
49017	 a 	az	（場所）・・・から				
49031	 a 	az	（場所）・・・から				
49040	 a 	az	（場所）・・・から				
62035	 a 	az	（場所）・・・から				
49004	 ā 	az	（場所）・・・から				
64014	 ā 	az	（場所）・・・から				
31001	 az 	az	（場所）・・・から				
31019	 az 	az	（場所）・・・から				
31026	 az 	az	（場所）・・・から				
31029	 az 	az	（場所）・・・から				
31032	 az 	az	（場所）・・・から				
31035	 az 	az	（場所）・・・から				
31039	 az 	az	（場所）・・・から				
31052	 az 	az	（場所）・・・から				
31052	 az 	az	（場所）・・・から				
32006	 az 	az	（場所）・・・から				
32017	 az 	az	（場所）・・・から				
32018	 az 	az	（場所）・・・から				
32020	 az 	az	（場所）・・・から				
32022	 az 	az	（場所）・・・から				
32037	 az 	az	（場所）・・・から				
32053	 az 	az	（場所）・・・から				
32058	 az 	az	（場所）・・・から				
32062	 az 	az	（場所）・・・から				
34010	 az 	az	（場所）・・・から				
34012	 az 	az	（場所）・・・から				
34014	 az 	az	（場所）・・・から				
34016	 az 	az	（場所）・・・から				
34017	 az 	az	（場所）・・・から				
34020	 az 	az	（場所）・・・から				
34020	 az 	az	（場所）・・・から				
34021	 az 	az	（場所）・・・から				
34026	 az 	az	（場所）・・・から				
34027	 az 	az	（場所）・・・から				
34027	 az 	az	（場所）・・・から				
34029	 az 	az	（場所）・・・から				
34035	 az 	az	（場所）・・・から				
34039	 az 	az	（場所）・・・から				
34060	 az 	az	（場所）・・・から				
34060	 az 	az	（場所）・・・から				
34061	 az 	az	（場所）・・・から				
35003	 az 	az	（場所）・・・から				
35017	 az 	az	（場所）・・・から				
35018	 az 	az	（場所）・・・から				
35026	 az 	az	（場所）・・・から				
36018	 az 	az	（場所）・・・から				
36024	 az 	az	（場所）・・・から				
36029	 az 	az	（場所）・・・から				
36030	 az 	az	（場所）・・・から				
36037	 az 	az	（場所）・・・から				
36042	 az 	az	（場所）・・・から				
37010	 az 	az	（場所）・・・から				
37013	 az 	az	（場所）・・・から				
37017	 az 	az	（場所）・・・から				
37019	 az 	az	（場所）・・・から				
37019	 az 	az	（場所）・・・から				
37023	 az 	az	（場所）・・・から				
37023	 az 	az	（場所）・・・から				
37028	 az 	az	（場所）・・・から				
37028	 az 	az	（場所）・・・から				
37029	 az 	az	（場所）・・・から				
37031	 az 	az	（場所）・・・から				
37048	 az 	az	（場所）・・・から				
37052	 az 	az	（場所）・・・から				
37056	 az 	az	（場所）・・・から				
38005	 az 	az	（場所）・・・から				
38005	 az 	az	（場所）・・・から				
38007	 az 	az	（場所）・・・から				
38010	 az 	az	（場所）・・・から				
38014	 az 	az	（場所）・・・から				
38014	 az 	az	（場所）・・・から				
38014	 az 	az	（場所）・・・から				
38014	 az 	az	（場所）・・・から				
38022	 az 	az	（場所）・・・から				
39009	 az 	az	（場所）・・・から				
40006	 az 	az	（場所）・・・から				
40007	 az 	az	（場所）・・・から				
40011	 az 	az	（場所）・・・から				
40014	 az 	az	（場所）・・・から				
40016	 az 	az	（場所）・・・から				
40017	 az 	az	（場所）・・・から				
40018	 az 	az	（場所）・・・から				
40019	 az 	az	（場所）・・・から				
40019	 az 	az	（場所）・・・から				
40023	 az 	az	（場所）・・・から				
40023	 az 	az	（場所）・・・から				
40023	 az 	az	（場所）・・・から				
40023	 az 	az	（場所）・・・から				
40026	 az 	az	（場所）・・・から				
40027	 az 	az	（場所）・・・から				
40029	 az 	az	（場所）・・・から				
41005	 az 	az	（場所）・・・から				
41006	 az 	az	（場所）・・・から				
41021	 az 	az	（場所）・・・から				
41023	 az 	az	（場所）・・・から				
41044	 az 	az	（場所）・・・から				
41044	 az 	az	（場所）・・・から				
41044	 az 	az	（場所）・・・から				
41045	 az 	az	（場所）・・・から				
42015	 az 	az	（場所）・・・から				
43001	 az 	az	（場所）・・・から				
43004	 az 	az	（場所）・・・から				
43009	 az 	az	（場所）・・・から				
43010	 az 	az	（場所）・・・から				
43015	 az 	az	（場所）・・・から				
43017	 az 	az	（場所）・・・から				
43021	 az 	az	（場所）・・・から				
43025	 az 	az	（場所）・・・から				
43030	 az 	az	（場所）・・・から				
43030	 az 	az	（場所）・・・から				
43033	 az 	az	（場所）・・・から				
43035	 az 	az	（場所）・・・から				
43036	 az 	az	（場所）・・・から				
43036	 az 	az	（場所）・・・から				
43039	 az 	az	（場所）・・・から				
43039	 az 	az	（場所）・・・から				
43040	 az 	az	（場所）・・・から				
44003	 az 	az	（場所）・・・から				
44005	 az 	az	（場所）・・・から				
44005	 az 	az	（場所）・・・から				
44006	 az 	az	（場所）・・・から				
44007	 az 	az	（場所）・・・から				
44007	 az 	az	（場所）・・・から				
44009	 az 	az	（場所）・・・から				
44011	 az 	az	（場所）・・・から				
44013	 az 	az	（場所）・・・から				
44015	 az 	az	（場所）・・・から				
44017	 az 	az	（場所）・・・から				
44017	 az 	az	（場所）・・・から				
44020	 az 	az	（場所）・・・から				
44021	 az 	az	（場所）・・・から				
44024	 az 	az	（場所）・・・から				
44025	 az 	az	（場所）・・・から				
44027	 az 	az	（場所）・・・から				
44028	 az 	az	（場所）・・・から				
44033	 az 	az	（場所）・・・から				
44043	 az 	az	（場所）・・・から				
44044	 az 	az	（場所）・・・から				
44049	 az 	az	（場所）・・・から				
44053	 az 	az	（場所）・・・から				
44059	 az 	az	（場所）・・・から				
44067	 az 	az	（場所）・・・から				
44069	 az 	az	（場所）・・・から				
44072	 az 	az	（場所）・・・から				
44073	 az 	az	（場所）・・・から				
44075	 az 	az	（場所）・・・から				
44081	 az 	az	（場所）・・・から				
44083	 az 	az	（場所）・・・から				
44088	 az 	az	（場所）・・・から				
44089	 az 	az	（場所）・・・から				
45043	 az 	az	（場所）・・・から				
46002	 az 	az	（場所）・・・から				
46009	 az 	az	（場所）・・・から				
46015	 az 	az	（場所）・・・から				
46019	 az 	az	（場所）・・・から				
46019	 az 	az	（場所）・・・から				
46027	 az 	az	（場所）・・・から				
46066	 az 	az	（場所）・・・から				
47008	 az 	az	（場所）・・・から				
47009	 az 	az	（場所）・・・から				
47021	 az 	az	（場所）・・・から				
47022	 az 	az	（場所）・・・から				
48008	 az 	az	（場所）・・・から				
48011	 az 	az	（場所）・・・から				
48020	 az 	az	（場所）・・・から				
49010	 az 	az	（場所）・・・から				
49017	 az 	az	（場所）・・・から				
49032	 az 	az	（場所）・・・から				
49040	 az 	az	（場所）・・・から				
50006	 az 	az	（場所）・・・から				
50046	 az 	az	（場所）・・・から				
50055	 az 	az	（場所）・・・から				
50057	 az 	az	（場所）・・・から				
50071	 az 	az	（場所）・・・から				
50073	 az 	az	（場所）・・・から				
50077	 az 	az	（場所）・・・から				
50079	 az 	az	（場所）・・・から				
50081	 az 	az	（場所）・・・から				
50083	 az 	az	（場所）・・・から				
51001	 az 	az	（場所）・・・から				
51006	 az 	az	（場所）・・・から				
51011	 az 	az	（場所）・・・から				
51011	 az 	az	（場所）・・・から				
51014	 az 	az	（場所）・・・から				
51015	 az 	az	（場所）・・・から				
52004	 az 	az	（場所）・・・から				
53018	 az 	az	（場所）・・・から				
53035	 az 	az	（場所）・・・から				
53040	 az 	az	（場所）・・・から				
53049	 az 	az	（場所）・・・から				
53050	 az 	az	（場所）・・・から				
53060	 az 	az	（場所）・・・から				
53070	 az 	az	（場所）・・・から				
53071	 az 	az	（場所）・・・から				
53105	 az 	az	（場所）・・・から				
53106	 az 	az	（場所）・・・から				
53108	 az 	az	（場所）・・・から				
55002	 az 	az	（場所）・・・から				
55002	 az 	az	（場所）・・・から				
55004	 az 	az	（場所）・・・から				
55005	 az 	az	（場所）・・・から				
55007	 az 	az	（場所）・・・から				
55009	 az 	az	（場所）・・・から				
56001	 az 	az	（場所）・・・から				
57034	 az 	az	（場所）・・・から				
58001	 az 	az	（場所）・・・から				
58008	 az 	az	（場所）・・・から				
58025	 az 	az	（場所）・・・から				
58051	 az 	az	（場所）・・・から				
59006	 az 	az	（場所）・・・から				
59007	 az 	az	（場所）・・・から				
59033	 az 	az	（場所）・・・から				
59041	 az 	az	（場所）・・・から				
59059	 az 	az	（場所）・・・から				
59079	 az 	az	（場所）・・・から				
59080	 az 	az	（場所）・・・から				
61001	 az 	az	（場所）・・・から				
61007	 az 	az	（場所）・・・から				
61008	 az 	az	（場所）・・・から				
61009	 az 	az	（場所）・・・から				
61012	 az 	az	（場所）・・・から				
61013	 az 	az	（場所）・・・から				
61014	 az 	az	（場所）・・・から				
61015	 az 	az	（場所）・・・から				
61015	 az 	az	（場所）・・・から				
61018	 az 	az	（場所）・・・から				
61019	 az 	az	（場所）・・・から				
61021	 az 	az	（場所）・・・から				
61023	 az 	az	（場所）・・・から				
61024	 az 	az	（場所）・・・から				
62024	 az 	az	（場所）・・・から				
62033	 az 	az	（場所）・・・から				
62034	 az 	az	（場所）・・・から				
62035	 az 	az	（場所）・・・から				
63002	 az 	az	（場所）・・・から				
63004	 az 	az	（場所）・・・から				
63008	 az 	az	（場所）・・・から				
63017	 az 	az	（場所）・・・から				
63020	 az 	az	（場所）・・・から				
63025	 az 	az	（場所）・・・から				
63026	 az 	az	（場所）・・・から				
63027	 az 	az	（場所）・・・から				
63029	 az 	az	（場所）・・・から				
63034	 az 	az	（場所）・・・から				
63034	 az 	az	（場所）・・・から				
63037	 az 	az	（場所）・・・から				
63040	 az 	az	（場所）・・・から				
64001	 az 	az	（場所）・・・から				
64008	 az 	az	（場所）・・・から				
64009	 az 	az	（場所）・・・から				
65003	 az 	az	（場所）・・・から				
65010	 az 	az	（場所）・・・から				
33004	 az 	az	（場所）・・・から				
33005	 az 	az	（場所）・・・から				
33005	 az 	az	（場所）・・・から				
33006	 az 	az	（場所）・・・から				
33006	 az 	az	（場所）・・・から				
