163020	 سرکونشو 	سر	頭	 کون 	未決	او	三人称単数人称代名詞（彼、彼女）	را	・・・を
109007	 کنند 	کردن	（あることを）する						
109010	 کنند 	کردن	（あることを）する						
79027	 کنه 	کردن	（あることを）する						
83011	 کنه 	کردن	（あることを）する						
84007	 کنه 	کردن	（あることを）する						
87064	 کنه 	کردن	（あることを）する						
89001	 کنه 	کردن	（あることを）する						
87064	 کنه 	کردن	（あることを）する						
89009	 کنه 	کردن	（あることを）する						
91029	 کنه 	کردن	（あることを）する						
91053	 کنه 	کردن	（あることを）する						
91027	 کنه 	کردن	（あることを）する						
94050	 کنه 	کردن	（あることを）する						
96006	 کنه 	کردن	（あることを）する						
96070	 کنه 	کردن	（あることを）する						
96099	 کنه 	کردن	（あることを）する						
96149	 کنه 	کردن	（あることを）する						
98001	 کنه 	کردن	（あることを）する						
99010	 کنه 	کردن	（あることを）する						
99013	 کنه 	کردن	（あることを）する						
99014	 کنه 	کردن	（あることを）する						
99015	 کنه 	کردن	（あることを）する						
99025	 کنه 	کردن	（あることを）する						
112094	 کنه 	کردن	（あることを）する						
112045	 کنه 	کردن	（あることを）する						
112057	 کنه 	کردن	（あることを）する						
112103	 کنه 	کردن	（あることを）する						
120011	 کنه 	کردن	（あることを）する						
121004	 کنه 	کردن	（あることを）する						
121004	 کنه 	کردن	（あることを）する						
130012	 کنه 	کردن	（あることを）する						
135012	 کنه 	کردن	（あることを）する						
140005	 کنه 	کردن	（あることを）する						
145006	 کنه 	کردن	（あることを）する						
145006	 کنه 	کردن	（あることを）する						
196006	 کنه 	کردن	（あることを）する						
72019	 کنی 	کردن	（あることを）する						
73003	 کنی 	کردن	（あることを）する						
73014	 کنی 	کردن	（あることを）する						
92042	 کنی 	کردن	（あることを）する						
95015	 کنی 	کردن	（あることを）する						
96044	 کنی 	کردن	（あることを）する						
96045	 کنی 	کردن	（あることを）する						
107004	 کنی 	کردن	（あることを）する						
110015	 کنی 	کردن	（あることを）する						
112042	 کنی 	کردن	（あることを）する						
123002	 کنی 	کردن	（あることを）する						
150016	 کنی 	کردن	（あることを）する						
150023	 کنی 	کردن	（あることを）する						
150023	 کنی 	کردن	（あることを）する						
150016	 کنی 	کردن	（あることを）する						
150023	 کنی 	کردن	（あることを）する						
150023	 کنی 	کردن	（あることを）する						
75004	 کنید 	کردن	（あることを）する						
94014	 کنید 	کردن	（あることを）する						
94016	 کنید 	کردن	（あることを）する						
100016	 کنید 	کردن	（あることを）する						
102041	 کنید 	کردن	（あることを）する						
109020	 کنید 	کردن	（あることを）する						
109020	 کنید 	کردن	（あることを）する						
84017	 کنیم 	کردن	（あることを）する						
86012	 کنیم 	کردن	（あることを）する						
86024	 کنیم 	کردن	（あることを）する						
86035	 کنیم 	کردن	（あることを）する						
100013	 کنیم 	کردن	（あることを）する						
127005	 کنیم 	کردن	（あることを）する						
175002	 کنیم 	کردن	（あることを）する						
74031	 کنین 	کردن	（あることを）する						
93028	 کنین 	کردن	（あることを）する						
102040	 کنین 	کردن	（あることを）する						
126013	 کنین 	کردن	（あることを）する						
104004	 میچرد 	کردن	（あることを）する						
176002	 میكرده 	کردن	（あることを）する						
75001	 میکرد 	کردن	（あることを）する						
78004	 میکرد 	کردن	（あることを）する						
78012	 میکرد 	کردن	（あることを）する						
82025	 میکرد 	کردن	（あることを）する						
82009	 میکرد 	کردن	（あることを）する						
95002	 میکرد 	کردن	（あることを）する						
96012	 میکرد 	کردن	（あることを）する						
96106	 میکرد 	کردن	（あることを）する						
96107	 میکرد 	کردن	（あることを）する						
102008	 میکرد 	کردن	（あることを）する						
102051	 میکرد 	کردن	（あることを）する						
102051	 میکرد 	کردن	（あることを）する						
110022	 میکرد 	کردن	（あることを）する						
112032	 میکرد 	کردن	（あることを）する						
112104	 میکرد 	کردن	（あることを）する						
112104	 میکرد 	کردن	（あることを）する						
117007	 میکرد 	کردن	（あることを）する						
122003	 میکرد 	کردن	（あることを）する						
124001	 میکرد 	کردن	（あることを）する						
129001	 میکرد 	کردن	（あることを）する						
135001	 میکرد 	کردن	（あることを）する						
136002	 میکرد 	کردن	（あることを）する						
140002	 میکرد 	کردن	（あることを）する						
140004	 میکرد 	کردن	（あることを）する						
148007	 میکرد 	کردن	（あることを）する						
150006	 میکرد 	کردن	（あることを）する						
150007	 میکرد 	کردن	（あることを）する						
150021	 میکرد 	کردن	（あることを）する						
148007	 میکرد 	کردن	（あることを）する						
150006	 میکرد 	کردن	（あることを）する						
150007	 میکرد 	کردن	（あることを）する						
150021	 میکرد 	کردن	（あることを）する						
181003	 میکرد 	کردن	（あることを）する						
194014	 میکرد 	کردن	（あることを）する						
181004	 میکرد 	کردن	（あることを）する						
126001	 میکردم 	کردن	（あることを）する						
78002	 میکردن 	کردن	（あることを）する						
79030	 میکردن 	کردن	（あることを）する						
79031	 میکردن 	کردن	（あることを）する						
82010	 میکردن 	کردن	（あることを）する						
83001	 میکردن 	کردن	（あることを）する						
83001	 میکردن 	کردن	（あることを）する						
86002	 میکردن 	کردن	（あることを）する						
94029	 میکردن 	کردن	（あることを）する						
94028	 میکردن 	کردن	（あることを）する						
94044	 میکردن 	کردن	（あることを）する						
96119	 میکردن 	کردن	（あることを）する						
96149	 میکردن 	کردن	（あることを）する						
109002	 میکردن 	کردن	（あることを）する						
112033	 میکردن 	کردن	（あることを）する						
119002	 میکردن 	کردن	（あることを）する						
119023	 میکردن 	کردن	（あることを）する						
119002	 میکردن 	کردن	（あることを）する						
122001	 میکردن 	کردن	（あることを）する						
123001	 میکردن 	کردن	（あることを）する						
130010	 میکردن 	کردن	（あることを）する						
130010	 میکردن 	کردن	（あることを）する						
138009	 میکردن 	کردن	（あることを）する						
139002	 میکردن 	کردن	（あることを）する						
149001	 میکردن 	کردن	（あることを）する						
149002	 میکردن 	کردن	（あることを）する						
150004	 میکردن 	کردن	（あることを）する						
149001	 میکردن 	کردن	（あることを）する						
149002	 میکردن 	کردن	（あることを）する						
150004	 میکردن 	کردن	（あることを）する						
171003	 میکردن 	کردن	（あることを）する						
175001	 میکردن 	کردن	（あることを）する						
175002	 میکردن 	کردن	（あることを）する						
177001	 میکردن 	کردن	（あることを）する						
191010	 میکردن 	کردن	（あることを）する						
183002	 میکردن 	کردن	（あることを）する						
191008	 میکردن 	کردن	（あることを）する						
191011	 میکردن 	کردن	（あることを）する						
194016	 میکردن 	کردن	（あることを）する						
182003	 میکردن 	کردن	（あることを）する						
188003	 میکردن 	کردن	（あることを）する						
192002	 میکردن 	کردن	（あることを）する						
192002	 میکردن 	کردن	（あることを）する						
149003	 میکردنو 	کردن	（あることを）する						
149003	 میکردنو 	کردن	（あることを）する						
72002	 میکرده 	کردن	（あることを）する						
75024	 میکرده 	کردن	（あることを）する						
84003	 میکرده 	کردن	（あることを）する						
95035	 میکرده 	کردن	（あることを）する						
99002	 میکرده 	کردن	（あることを）する						
99017	 میکرده 	کردن	（あることを）する						
106002	 میکرده 	کردن	（あることを）する						
114003	 میکرده 	کردن	（あることを）する						
122001	 میکرده 	کردن	（あることを）する						
122002	 میکرده 	کردن	（あることを）する						
122002	 میکرده 	کردن	（あることを）する						
122004	 میکرده 	کردن	（あることを）する						
78002	 میکردیم 	کردن	（あることを）する						
140021	 میکردیم 	کردن	（あることを）する						
140022	 میکردیم 	کردن	（あることを）する						
138003	 میکردیم 	کردن	（あることを）する						
145001	 میکردیم 	کردن	（あることを）する						
145001	 میکردیم 	کردن	（あることを）する						
145001	 میکردیم 	کردن	（あることを）する						
145001	 میکردیم 	کردن	（あることを）する						
194018	 میکردیم 	کردن	（あることを）する						
91047	 میکند 	کردن	（あることを）する						
106004	 میکند 	کردن	（あることを）する						
106004	 میکند 	کردن	（あることを）する						
106006	 میکند 	کردن	（あることを）する						
110008	 میکند 	کردن	（あることを）する						
110009	 میکند 	کردن	（あることを）する						
110010	 میکند 	کردن	（あることを）する						
110032	 میکند 	کردن	（あることを）する						
110019	 میکند 	کردن	（あることを）する						
140021	 میکند 	کردن	（あることを）する						
166007	 میکند 	کردن	（あることを）する						
166012	 میکند 	کردن	（あることを）する						
166007	 میکند 	کردن	（あることを）する						
166008	 میکند 	کردن	（あることを）する						
166008	 میکند 	کردن	（あることを）する						
185001	 میکند 	کردن	（あることを）する						
195003	 میکند 	کردن	（あることを）する						
75003	 میکندو 	کردن	（あることを）する						
201001	 میکنم	کردن	（あることを）する						
77008	 میکنم 	کردن	（あることを）する						
80007	 میکنم 	کردن	（あることを）する						
80006	 میکنم 	کردن	（あることを）する						
87039	 میکنم 	کردن	（あることを）する						
92008	 میکنم 	کردن	（あることを）する						
92033	 میکنم 	کردن	（あることを）する						
94037	 میکنم 	کردن	（あることを）する						
94034	 میکنم 	کردن	（あることを）する						
94042	 میکنم 	کردن	（あることを）する						
94047	 میکنم 	کردن	（あることを）する						
93018	 میکنم 	کردن	（あることを）する						
94043	 میکنم 	کردن	（あることを）する						
94046	 میکنم 	کردن	（あることを）する						
93012	 میکنم 	کردن	（あることを）する						
95007	 میکنم 	کردن	（あることを）する						
95022	 میکنم 	کردن	（あることを）する						
96072	 میکنم 	کردن	（あることを）する						
96054	 میکنم 	کردن	（あることを）する						
100014	 میکنم 	کردن	（あることを）する						
112042	 میکنم 	کردن	（あることを）する						
112110	 میکنم 	کردن	（あることを）する						
139028	 میکنم 	کردن	（あることを）する						
140001	 میکنم 	کردن	（あることを）する						
191005	 میکنم 	کردن	（あることを）する						
74008	 میکنن 	کردن	（あることを）する						
75022	 میکنن 	کردن	（あることを）する						
84018	 میکنن 	کردن	（あることを）する						
83014	 میکنن 	کردن	（あることを）する						
83014	 میکنن 	کردن	（あることを）する						
83019	 میکنن 	کردن	（あることを）する						
85004	 میکنن 	کردن	（あることを）する						
85005	 میکنن 	کردن	（あることを）する						
85007	 میکنن 	کردن	（あることを）する						
85007	 میکنن 	کردن	（あることを）する						
85011	 میکنن 	کردن	（あることを）する						
84007	 میکنن 	کردن	（あることを）する						
84007	 میکنن 	کردن	（あることを）する						
85013	 میکنن 	کردن	（あることを）する						
91002	 میکنن 	کردن	（あることを）する						
94009	 میکنن 	کردن	（あることを）する						
94023	 میکنن 	کردن	（あることを）する						
93026	 میکنن 	کردن	（あることを）する						
94023	 میکنن 	کردن	（あることを）する						
94024	 میکنن 	کردن	（あることを）する						
94027	 میکنن 	کردن	（あることを）する						
94048	 میکنن 	کردن	（あることを）する						
94062	 میکنن 	کردن	（あることを）する						
94062	 میکنن 	کردن	（あることを）する						
94063	 میکنن 	کردن	（あることを）する						
94063	 میکنن 	کردن	（あることを）する						
96142	 میکنن 	کردن	（あることを）する						
96104	 میکنن 	کردن	（あることを）する						
96096	 میکنن 	کردن	（あることを）する						
99019	 میکنن 	کردن	（あることを）する						
107025	 میکنن 	کردن	（あることを）する						
112095	 میکنن 	کردن	（あることを）する						
112086	 میکنن 	کردن	（あることを）する						
120025	 میکنن 	کردن	（あることを）する						
119023	 میـکـنن 	کردن	（あることを）する						
120024	 میکنن 	کردن	（あることを）する						
120025	 میکنن 	کردن	（あることを）する						
119021	 میکنن 	کردن	（あることを）する						
121004	 میکنن 	کردن	（あることを）する						
123005	 میکنن 	کردن	（あることを）する						
123005	 میکنن 	کردن	（あることを）する						
127012	 میکنن 	کردن	（あることを）する						
128011	 مـیـکنن 	کردن	（あることを）する						
127014	 میکنن 	کردن	（あることを）する						
128011	 میکنن 	کردن	（あることを）する						
132019	 میکنن 	کردن	（あることを）する						
135005	 میکنن 	کردن	（あることを）する						
135008	 میکنن 	کردن	（あることを）する						
139013	 میکنن 	کردن	（あることを）する						
144005	 میکنن 	کردن	（あることを）する						
148003	 میکنن 	کردن	（あることを）する						
144005	 میکنن 	کردن	（あることを）する						
148003	 میکنن 	کردن	（あることを）する						
178005	 میکنن 	کردن	（あることを）する						
191008	 میکنن 	کردن	（あることを）する						
192003	 میکنن 	کردن	（あることを）する						
200006	 میکنن 	کردن	（あることを）する						
184006	 میکنن 	کردن	（あることを）する						
185001	 میکنن 	کردن	（あることを）する						
191009	 میکنن 	کردن	（あることを）する						
191010	 میکنن 	کردن	（あることを）する						
199002	 میکنن 	کردن	（あることを）する						
200008	 میکنن 	کردن	（あることを）する						
191016	 میکنن 	کردن	（あることを）する						
192004	 میکنن 	کردن	（あることを）する						
192005	 میکنن 	کردن	（あることを）する						
192005	 میکنن 	کردن	（あることを）する						
200011	 میکنن 	کردن	（あることを）する						
190001	 میکنن 	کردن	（あることを）する						
120017	 میکنند 	کردن	（あることを）する						
184005	 میکنند 	کردن	（あることを）する						
72004	 میکنه 	کردن	（あることを）する						
72007	 میکنه 	کردن	（あることを）する						
72007	 میکنه 	کردن	（あることを）する						
72009	 میکنه 	کردن	（あることを）する						
75013	 میکنه 	کردن	（あることを）する						
76013	 میکنه 	کردن	（あることを）する						
72013	 میکنه 	کردن	（あることを）する						
76012	 میکنه 	کردن	（あることを）する						
83025	 میکنه 	کردن	（あることを）する						
84021	 میکنه 	کردن	（あることを）する						
80015	 میکنه 	کردن	（あることを）する						
81011	 میکنه 	کردن	（あることを）する						
82030	 میکنه 	کردن	（あることを）する						
83004	 میکنه 	کردن	（あることを）する						
83008	 میکنه 	کردن	（あることを）する						
83015	 میکنه 	کردن	（あることを）する						
84006	 میکنه 	کردن	（あることを）する						
84009	 میکنه 	کردن	（あることを）する						
84022	 میکنه 	کردن	（あることを）する						
84023	 میکنه 	کردن	（あることを）する						
84027	 میکنه 	کردن	（あることを）する						
85013	 میکنه 	کردن	（あることを）する						
85015	 میکنه 	کردن	（あることを）する						
85018	 میکنه 	کردن	（あることを）する						
83023	 میکنه 	کردن	（あることを）する						
84027	 میکنه 	کردن	（あることを）する						
88012	 میکنه 	کردن	（あることを）する						
88012	 میکنه 	کردن	（あることを）する						
88021	 میکنه 	کردن	（あることを）する						
88021	 میکنه 	کردن	（あることを）する						
88022	 میکنه 	کردن	（あることを）する						
91013	 میکنه 	کردن	（あることを）する						
91055	 میکنه 	کردن	（あることを）する						
91058	 میکنه 	کردن	（あることを）する						
93003	 میکنه 	کردن	（あることを）する						
93030	 میکنه 	کردن	（あることを）する						
93031	 میکنه 	کردن	（あることを）する						
94018	 میکنه 	کردن	（あることを）する						
94019	 میکنه 	کردن	（あることを）する						
94048	 میکنه 	کردن	（あることを）する						
94055	 میکنه 	کردن	（あることを）する						
94057	 میکنه 	کردن	（あることを）する						
94057	 میکنه 	کردن	（あることを）する						
94060	 میکنه 	کردن	（あることを）する						
93018	 میکنه 	کردن	（あることを）する						
96048	 میکنه 	کردن	（あることを）する						
96124	 میکنه 	کردن	（あることを）する						
96043	 میکنه 	کردن	（あることを）する						
96075	 میکنه 	کردن	（あることを）する						
96080	 میکنه 	کردن	（あることを）する						
96123	 میکنه 	کردن	（あることを）する						
96135	 میکنه 	کردن	（あることを）する						
96146	 میکنه 	کردن	（あることを）する						
96167	 میکنه 	کردن	（あることを）する						
96016	 میکنه 	کردن	（あることを）する						
96173	 میکنه 	کردن	（あることを）する						
98017	 میکنه 	کردن	（あることを）する						
98017	 میکنه 	کردن	（あることを）する						
99026	 میکنه 	کردن	（あることを）する						
100001	 میکنه 	کردن	（あることを）する						
100002	 میکنه 	کردن	（あることを）する						
100003	 میکنه 	کردن	（あることを）する						
100006	 میکنه 	کردن	（あることを）する						
100016	 میکنه 	کردن	（あることを）する						
103012	 میکنه 	کردن	（あることを）する						
106005	 میکنه 	کردن	（あることを）する						
106002	 میکنه 	کردن	（あることを）する						
107006	 میکنه 	کردن	（あることを）する						
107011	 میکنه 	کردن	（あることを）する						
107021	 میکنه 	کردن	（あることを）する						
107024	 میکنه 	کردن	（あることを）する						
107025	 میکنه 	کردن	（あることを）する						
107026	 میکنه 	کردن	（あることを）する						
107015	 میکنه 	کردن	（あることを）する						
112110	 میکنه 	کردن	（あることを）する						
113004	 میکنه 	کردن	（あることを）する						
112052	 میکنه 	کردن	（あることを）する						
112060	 میکنه 	کردن	（あることを）する						
116004	 میکنه 	کردن	（あることを）する						
118006	 میکنه 	کردن	（あることを）する						
120008	 میکنه 	کردن	（あることを）する						
120027	 میکنه 	کردن	（あることを）する						
123008	 میکنه 	کردن	（あることを）する						
123009	 میکنه 	کردن	（あることを）する						
123018	 میکنه 	کردن	（あることを）する						
124004	 میکنه 	کردن	（あることを）する						
124006	 میکنه 	کردن	（あることを）する						
124004	 میکنه 	کردن	（あることを）する						
129005	 میکنه 	کردن	（あることを）する						
128001	 میکنه 	کردن	（あることを）する						
128008	 میکنه 	کردن	（あることを）する						
128010	 میکنه 	کردن	（あることを）する						
128018	 میکنه 	کردن	（あることを）する						
128018	 میکنه 	کردن	（あることを）する						
129005	 میکنه 	کردن	（あることを）する						
131011	 میکنه 	کردن	（あることを）する						
131012	 میکنه 	کردن	（あることを）する						
131003	 میکنه 	کردن	（あることを）する						
131003	 میکنه 	کردن	（あることを）する						
131011	 میکنه 	کردن	（あることを）する						
132015	 میکنه 	کردن	（あることを）する						
134007	 میکنه 	کردن	（あることを）する						
135013	 میکنه 	کردن	（あることを）する						
135013	 میکنه 	کردن	（あることを）する						
139021	 میکنه 	کردن	（あることを）する						
137001	 میکنه 	کردن	（あることを）する						
139021	 میکنه 	کردن	（あることを）する						
139031	 میکنه 	کردن	（あることを）する						
140005	 میکنه 	کردن	（あることを）する						
140008	 میکنه 	کردن	（あることを）する						
140011	 میکنه 	کردن	（あることを）する						
140013	 میکنه 	کردن	（あることを）する						
140014	 میکنه 	کردن	（あることを）する						
137006	 میکنه 	کردن	（あることを）する						
137006	 میکنه 	کردن	（あることを）する						
140006	 میکنه 	کردن	（あることを）する						
140015	 میکنه 	کردن	（あることを）する						
139028	 میکنه 	کردن	（あることを）する						
141012	 میکنه 	کردن	（あることを）する						
142004	 میکنه 	کردن	（あることを）する						
142005	 میکنه 	کردن	（あることを）する						
146003	 میکنه 	کردن	（あることを）する						
146006	 میکنه 	کردن	（あることを）する						
150026	 میکنه 	کردن	（あることを）する						
145004	 میکنه 	کردن	（あることを）する						
145008	 میکنه 	کردن	（あることを）する						
148003	 میکنه 	کردن	（あることを）する						
149006	 میکنه 	کردن	（あることを）する						
141012	 میکنه 	کردن	（あることを）する						
142004	 میکنه 	کردن	（あることを）する						
142005	 میکنه 	کردن	（あることを）する						
146003	 میکنه 	کردن	（あることを）する						
146006	 میکنه 	کردن	（あることを）する						
150026	 میکنه 	کردن	（あることを）する						
145004	 میکنه 	کردن	（あることを）する						
145008	 میکنه 	کردن	（あることを）する						
148003	 میکنه 	کردن	（あることを）する						
149006	 میکنه 	کردن	（あることを）する						
166011	 میکنه 	کردن	（あることを）する						
166013	 میکنه 	کردن	（あることを）する						
180002	 میکنه 	کردن	（あることを）する						
193006	 میکنه 	کردن	（あることを）する						
198001	 میکنه 	کردن	（あることを）する						
198002	 میکنه 	کردن	（あることを）する						
200001	 میکنه 	کردن	（あることを）する						
200012	 میکنه 	کردن	（あることを）する						
200005	 میکنه 	کردن	（あることを）する						
202003	 میکنه 	کردن	（あることを）する						
131007	 میکنو 	کردن	（あることを）する						
80005	 میکنی 	کردن	（あることを）する						
84020	 میکنی 	کردن	（あることを）する						
94041	 میکنی 	کردن	（あることを）する						
96138	 میکنی 	کردن	（あることを）する						
102015	 میکنی 	کردن	（あることを）する						
107015	 میکنی 	کردن	（あることを）する						
111013	 میکنی 	کردن	（あることを）する						
139034	 میکنی 	کردن	（あることを）する						
191001	 میکنیم 	کردن	（あることを）する						
191003	 میکنیم 	کردن	（あることを）する						
201002	 میکنیم 	کردن	（あることを）する						
191004	 میکنیم 	کردن	（あることを）する						
191008	 میکنیم 	کردن	（あることを）する						
191008	 میکنیم 	کردن	（あることを）する						
139001	 میکه 	کردن	（あることを）する						
91017	 نکرد 	کردن	（あることを）する						
96025	 نکرد 	کردن	（あることを）する						
102012	 نکرد 	کردن	（あることを）する						
119008	 نکرد 	کردن	（あることを）する						
148009	 نکردم 	کردن	（あることを）する						
148009	 نکردم 	کردن	（あることを）する						
75035	 نکرده 	کردن	（あることを）する						
96126	 نکرده 	کردن	（あることを）する						
96006	 نکرده 	کردن	（あることを）する						
192003	 نکرده 	کردن	（あることを）する						
91020	 نکن 	کردن	（あることを）する						
96008	 نکن 	کردن	（あることを）する						
78004	 نکنم 	کردن	（あることを）する						
110032	 نکنن 	کردن	（あることを）する						
184009	 نکنند 	کردن	（あることを）する						
200008	 نکنند 	کردن	（あることを）する						
81006	 نکنه 	کردن	（あることを）する						
96093	 نکنه 	کردن	（あることを）する						
179002	 نکنه 	کردن	（あることを）する						
192001	 نکنه 	کردن	（あることを）する						
95017	 نکنی 	کردن	（あることを）する						
96071	 نکنیا 	کردن	（あることを）する						
96045	 نکه 	کردن	（あることを）する						
176002	 نمیكرد 	کردن	（あることを）する						
145006	 نمیکرد 	کردن	（あることを）する						
145006	 نمیکرد 	کردن	（あることを）する						
191014	 نمیکردن 	کردن	（あることを）する						
106006	 نمیکرده 	کردن	（あることを）する						
140016	 نمیکرده 	کردن	（あることを）する						
103008	 نمیکنم 	کردن	（あることを）する						
112039	 نمیکنم 	کردن	（あることを）する						
112105	 نمیکنم 	کردن	（あることを）する						
112093	 نمیکنم 	کردن	（あることを）する						
74023	 نمیکنن 	کردن	（あることを）する						
149006	 نمیکنن 	کردن	（あることを）する						
149006	 نمیکنن 	کردن	（あることを）する						
191009	 نمیکنن 	کردن	（あることを）する						
85012	 نمیکنه 	کردن	（あることを）する						
93010	 نمیکنه 	کردن	（あることを）する						
95008	 نمیکنه 	کردن	（あることを）する						
95004	 نمیکنه 	کردن	（あることを）する						
95006	 نمیکنه 	کردن	（あることを）する						
103015	 نمیکنه 	کردن	（あることを）する						
103015	 نمیکنه 	کردن	（あることを）する						
113014	 نمیکنه 	کردن	（あることを）する						
113013	 نمیکنه 	کردن	（あることを）する						
130008	 نمیکنه 	کردن	（あることを）する						
194005	 نمیکنه 	کردن	（あることを）する						
194003	 نمیکنه 	کردن	（あることを）する						
150028	 نمیکنی 	کردن	（あることを）する						
150028	 نمیکنی 	کردن	（あることを）する						
194027	 تربچه 	تربچه	（はつか）だいこん						
120002	 بانو 	بانو	（貴）婦人						
112049	 سردر 	سردر	（建物の）正面						
96079	 روم 	روم	（古代の）ローマ						
99012	 روم 	روم	（古代の）ローマ						
112018	 روم 	روم	（古代の）ローマ						
92044	 اره 	بله	（肯定の返事）はい						
103014	 اره 	بله	（肯定の返事）はい						
107003	 اره 	بله	（肯定の返事）はい						
107006	 اره 	بله	（肯定の返事）はい						
107016	 اره 	بله	（肯定の返事）はい						
91027	 بله 	بله	（肯定の返事）はい						
92026	 بله 	بله	（肯定の返事）はい						
103021	 بله 	بله	（肯定の返事）はい						
109017	 بله 	بله	（肯定の返事）はい						
110026	 بله 	بله	（肯定の返事）はい						
150021	 بله 	بله	（肯定の返事）はい						
150021	 بله 	بله	（肯定の返事）はい						
173001	 بله 	بله	（肯定の返事）はい						
173002	 بله 	بله	（肯定の返事）はい						
173003	 بله 	بله	（肯定の返事）はい						
150020	 بگذر 	گذشتن	（時が）過ぎる						
150020	 بگذر 	گذشتن	（時が）過ぎる						
110018	 بگذرد 	گذشتن	（時が）過ぎる						
110014	 بگذریم 	گذشتن	（時が）過ぎる						
73007	 گذشت 	گذشتن	（時が）過ぎる						
75034	 گذشت 	گذشتن	（時が）過ぎる						
75034	 گذشت 	گذشتن	（時が）過ぎる						
75028	 گذشت 	گذشتن	（時が）過ぎる						
87043	 گذشت 	گذشتن	（時が）過ぎる						
112053	 گذشت 	گذشتن	（時が）過ぎる						
112101	 گذشت 	گذشتن	（時が）過ぎる						
117004	 گذشت 	گذشتن	（時が）過ぎる						
130009	 گذشت 	گذشتن	（時が）過ぎる						
130007	 گذشتم 	گذشتن	（時が）過ぎる						
200010	 گذشتن 	گذشتن	（時が）過ぎる						
110020	 گذشته 	گذشتن	（時が）過ぎる						
120004	 گذشته 	گذشتن	（時が）過ぎる						
119002	 گذشته 	گذشتن	（時が）過ぎる						
130011	 میذرن 	گذشتن	（時が）過ぎる						
91052	 میگذره 	گذشتن	（時が）過ぎる						
99007	 میگذره 	گذشتن	（時が）過ぎる						
106006	 میگذشته 	گذشتن	（時が）過ぎる						
75029	 نگذشت 	گذشتن	（時が）過ぎる						
116003	 مرور 	مرور	（時の）経過						
72020	 بگذرونم 	گذراندن	（時を）過ごす						
75004	 گذرونی 	گذراندن	（時を）過ごす						
75007	 گذرونی 	گذراندن	（時を）過ごす						
95027	 بکار 	کاشتن	（種子）を蒔く						
89021	 بکارن 	کاشتن	（種子）を蒔く						
112110	 بکارین 	کاشتن	（種子）を蒔く						
89022	 کاشتن 	کاشتن	（種子）を蒔く						
170001	 میکاشتیم 	کاشتن	（種子）を蒔く						
81004	 گله 	گله1	（獣の）群れ						
129009	 گله 	گله1	（獣の）群れ						
129011	 گله 	گله1	（獣の）群れ						
170001	 گله 	گله1	（獣の）群れ						
123014	 شریک 	شریک	（出資）組合員						
124004	 ا 	از	（場所）・・・から						
124008	 ا 	از	（場所）・・・から						
128017	 ا 	از	（場所）・・・から						
128016	 ا 	از	（場所）・・・から						
128016	 ا 	از	（場所）・・・から						
128016	 ا 	از	（場所）・・・から						
130013	 ا 	از	（場所）・・・から						
132002	 ا 	از	（場所）・・・から						
132016	 ا 	از	（場所）・・・から						
134007	 ا 	از	（場所）・・・から						
145009	 ا 	از	（場所）・・・から						
146005	 ا 	از	（場所）・・・から						
146005	 ا 	از	（場所）・・・から						
146002	 ا 	از	（場所）・・・から						
146002	 ا 	از	（場所）・・・から						
145007	 ا 	از	（場所）・・・から						
145009	 ا 	از	（場所）・・・から						
146005	 ا 	از	（場所）・・・から						
146005	 ا 	از	（場所）・・・から						
146002	 ا 	از	（場所）・・・から						
146002	 ا 	از	（場所）・・・から						
145007	 ا 	از	（場所）・・・から						
120035	 آ 	از	（場所）・・・から						
120011	 از	از	（場所）・・・から						
119023	 از	از	（場所）・・・から						
72001	 از 	از	（場所）・・・から						
72007	 از 	از	（場所）・・・から						
72015	 از 	از	（場所）・・・から						
72017	 از 	از	（場所）・・・から						
72019	 از 	از	（場所）・・・から						
72024	 از 	از	（場所）・・・から						
75006	 از 	از	（場所）・・・から						
75035	 از 	از	（場所）・・・から						
77006	 از 	از	（場所）・・・から						
77011	 از 	از	（場所）・・・から						
77014	 از 	از	（場所）・・・から						
78001	 از 	از	（場所）・・・から						
78002	 از 	از	（場所）・・・から						
78007	 از 	از	（場所）・・・から						
78009	 از 	از	（場所）・・・から						
78012	 از 	از	（場所）・・・から						
79012	 از 	از	（場所）・・・から						
72007	 از 	از	（場所）・・・から						
72007	 از 	از	（場所）・・・から						
72013	 از 	از	（場所）・・・から						
72021	 از 	از	（場所）・・・から						
74003	 از 	از	（場所）・・・から						
76001	 از 	از	（場所）・・・から						
76012	 از 	از	（場所）・・・から						
76016	 از 	از	（場所）・・・から						
76018	 از 	از	（場所）・・・から						
77001	 از 	از	（場所）・・・から						
77005	 از 	از	（場所）・・・から						
77007	 از 	از	（場所）・・・から						
77012	 از 	از	（場所）・・・から						
78008	 از 	از	（場所）・・・から						
78012	 از 	از	（場所）・・・から						
78012	 از 	از	（場所）・・・から						
79002	 از 	از	（場所）・・・から						
79016	 از 	از	（場所）・・・から						
79021	 از 	از	（場所）・・・から						
79044	 از 	از	（場所）・・・から						
72018	 از 	از	（場所）・・・から						
75001	 از 	از	（場所）・・・から						
76003	 از 	از	（場所）・・・から						
77007	 از 	از	（場所）・・・から						
78005	 از 	از	（場所）・・・から						
78013	 از 	از	（場所）・・・から						
79007	 از 	از	（場所）・・・から						
77015	 از 	از	（場所）・・・から						
81008	 از 	از	（場所）・・・から						
82027	 از 	از	（場所）・・・から						
83006	 از 	از	（場所）・・・から						
83020	 از 	از	（場所）・・・から						
